,新聞,類別
0,（中央社日內瓦/杜拜8日綜合外電報導）伊朗今天揚言重新啟動關閉中的離心機，並將鈾濃縮純度提高到20%，作為脫離核子協議的下一步可能重大舉措。美國去年已退出這項協議。此一威脅是由伊朗核子機構發言人說出，遠甚於伊朗過去一週所採取的有限作法，即將裂變物質儲存量增加到略多於協議規定的上限。這可能會令人嚴重懷疑，旨在阻止伊朗製造核武的核子協議是否仍有效力。前述兩項威脅將推翻協議的重大成就，只是伊朗並未詳細透露，將恢復協議達成前的狀態到何種程度。當時西方專家認為，伊朗可能在數月之內即能建造出一枚核彈。（譯者：張佑之）1080709,國際
1,（中央社德黑蘭/布魯塞爾8日綜合外電報導）伊朗今天不顧歐洲聯盟強力勸阻，宣布已將提煉濃縮鈾純度提高到4.5%以上，遠超過2015年達成的伊朗核子協議所規定上限3.7%。歐盟將等待評估報告再決定下步行動。半官方的「伊朗學生通訊社」（ISNA）報導，伊朗原子能組織發言人卡馬萬迪（Behrouz Kamalvandi）表示：「伊朗濃縮鈾純度今天上午已突破4.5%。…這種純度完全滿足伊朗發電廠燃料所需。」暗示伊朗可能將暫時維持這樣的純度。伊朗昨天已表明，將在「數小時內」突破核子協議的濃縮鈾純度上限。歐盟今天稍早表示，對於伊朗計畫的行動感到「極度擔憂」，並呼籲伊朗懸崖勒馬。法新社報導，歐盟發言人柯契姜琪克（Maja Kocijancic）告訴記者：「我們強烈要求，伊朗停止和扭轉所有不符合『聯合全面行動方案』（JCPOA，即伊朗核子協議）承諾的活動。」按協議，伊朗同意讓自身核子活動受到嚴格限制，以換取減輕制裁懲罰。但自從美國總統川普去年5月單方面退出協議，並恢復對伊朗實施傷害重大的制裁，伊朗已在5月宣布有意降低遵守核協議程度。協議其餘簽約國家英國、法國、德國、俄羅斯和中國都表示，這份協議是讓伊朗停止發展核武的最佳方法。柯契姜琪克今天表示，歐盟將等待聯合國（UN）原子能當局提出的報告，再徵詢協議其他簽約國的意見，才會決定接下來行動。英、法、德為挽救伊朗核子協議，曾創設名為「支援貿易通匯工具」（INSTEX）的特殊機制，讓各方能避開美國制裁和伊朗繼續做生意。但機制已創立6個月卻還未開始運作，使得德黑蘭對於歐洲無法採取有效行動，挫折感日益強烈。一名歐盟消息人士透露，布魯塞爾官員認為，伊朗宣布要調高濃縮鈾純度，是想施壓西方加強協助。「伊朗目前國內情勢極度困難，已快要失去所有物資供給。他們想繼續保住協議，但也想要得到承諾會給他們的好處。」消息人士還說，伊朗已採取的違反協議行為，包括提高濃縮鈾純度和突破鈾儲量上限，都可以逆轉。但若伊朗將濃縮鈾純度提高到5%以上，情況恐怕會更嚴重。（譯者：張正芊/核稿：林治平）1080708,國際
2,（中央社柏林8日綜合外電報導）美國要求德國增加在敘利亞的兵力，以更有效打擊敘國境內的伊斯蘭國（IS）勢力。柏林當局今天表示，沒有派遣地面部隊前往敘利亞的計畫。德國政府發言人塞柏特（Steffen Seibert）表示：「當我說，政府計畫在現有反伊斯蘭國聯盟框架下持續現有措施時，這意味不會動用地面部隊。」美國的敘利亞特別代表傑福瑞（James Jeffrey）昨天在訪問柏林期間告訴世界報（Die Welt）等德國媒體，華府希望柏林當局能在敘利亞北部部署地面部隊。他還說，期待本月就收到德方回覆。德國國會授權政府參加敘利亞戰事，但只到今年10月31日有效，意味國會得開會決定下一步。傑福瑞指出，美國和德國正在商討共同軍事行動接下來的發展。德國背負第二次世界大戰的歷史包袱，軍事支出和海外軍事行動議題往往難以取得國內共識，公眾和各政治勢力多對可能的軍事擴張持保留態度。（譯稿：陳韻聿/核稿：林治平）1080708,國際
3,（中央社記者康世人新德里8日專電）聯合國人權事務高級專員公署辦公室今天發表最新報告批評印度安全部隊在克什米爾過度使用武力和採取酷刑，印度外交部提出抗議，並稱這份報告侵犯印度的主權與領土完整。聯合國人權事務高級專員公署辦公室（Office of the United Nations High Commissioner for Human Rights）去年首次針對克什米爾人權問題發出報告，批評印度和巴基斯坦在克什米爾占領區的侵犯人權行為後，今天再度發出後續報告，批評印、巴皆未採取任何具體措施，解決上次報告提出的諸多問題。聯合國人權事務高級專員公署辦公室今天發出的報告批評，印度占領的查摩和克什米爾省存在嚴重的侵犯人權行為和有罪不罰的現象，巴基斯坦占領的克什米爾地區也出現重大人權問題。報告批評，印度安全部隊在查摩與克什米爾省過度使用武力、實施酷刑、任意拘留持不同政見者及關閉網路，但印度政府對安全部隊人員的違法行為幾乎不追究責任，突顯印度長期對部隊不當行為「有罪不罰」。報告也引述民間社會組織批評巴基斯坦安全部隊在克什米爾地區發生一系列的「被失蹤」。這份報告呼籲印度，應尊重克什米爾人民受國際法保護的自決權利。莫迪政府允許安全部隊在查摩與克什米爾省實施酷刑及動用武力等高壓手段對付恐怖份子後，加上當地人失業情況嚴重，愈來愈多克什米爾年輕人支持爭取克什米爾獨立及合併巴基斯坦占領克什米爾地區的主張，軍民衝突升高，甚至引發民眾在街上向安全部隊丟擲石塊。不過，印度外交部稍晚發出聲明，譴責聯合國人權事務高級專員公署辦公室發出的上述報告是「讓恐怖主義合法化」，且稱報告中的主張是「在印度主權與領土完整中，忽視跨國恐怖主義的核心問題」，侵犯了印度主權與領土完整。聲明再次重申，整個查摩與克什米爾省是印度不可分割的一部分，巴基斯坦非法與強行占領印度這個省一部分的領土，也就是被稱為自由查摩與克什米爾（Azad Jammu and Kashmir）和吉爾吉特-巴爾蒂斯坦（Gilgit-Baltistan）等地區，印度一再呼籲巴基斯坦撤離這些地區。對克什米爾民眾持續遭人權侵害，聯合國人權事務高級專員公署辦公室去年的報告已向印度與巴基斯坦提出建議，要求調查2016年7月以來的所有平民遭殺害事件，及安全部隊過度使用武力等問題，但遭印度拒絕。相較於印度對聯合國機構上述報告採取敵視態度，聯合國人權事務高級專員公署辦公室表示，巴基斯坦再次對這份報告表示歡迎。印巴1947年分治後，克什米爾國王辛赫（Hari Singh）希望保持獨立，但卻遭巴基斯坦派兵占領，辛赫逃往印度求助，最後同意克什米爾併入印度，引發印巴為克什米爾主權歸屬問題長期爭執及發生戰爭，雙方今年2月更在克什米爾印巴控制線發生空戰。（編輯：施燕飛）1080708,國際
4,（中央社日內瓦8日綜合外電報導）美國設置邊界拘留營處理中美洲移民和難民，但日前有報告指出，營內人滿為患，且疾病肆虐。聯合國人權事務高級專員巴舍萊今天表示，她對這樣的狀況「深感震驚」。英國獨立報（The Independent）報導，巴舍萊（Michelle Bachelet）發布聲明說：「身為一位小兒科醫生，同時也是一位母親和前國家領導人，對於兒童被迫睡在擁擠的拘留營地板上，且沒有管道取得足夠的健康照顧和食物，還必須忍受糟糕的衛生條件，我深感震驚。」巴舍萊是前任智利總統。美國國土安全部（DHS）上週發布的一份監督報告中警告，多間拘留營人滿為患已達危險程度。這些拘留營關著數千名尋求留在美國的中美洲移民，大多是為逃離家園的暴力與貧困。回應這份報告，巴舍萊表示，即使在良好的狀況下，拘留孩童「一小段時間」，都會對他們的健康和身心發展造成嚴重影響。巴舍萊補充：「想像若縱容這些令人擔憂的情況持續發生，每天會造成多大傷害。」先前，美國總統川普（Donald Trump）表示毫不同情移民在拘留營的狀況。他在推特（Twitter）上寫道：「如果非法移民不滿意快速搭建或改裝而成的拘留營，就告訴他們不要來（美國）。如此所有問題就解決了！」巴舍萊呼籲各界展現同情心，強調拘留營內的人「是為尋求保護和尊嚴，並遠離暴力和飢餓，才帶著他們的孩子展開危險的旅程」。「當他們終於相信已抵達安全之地，卻可能發現自己與摯愛分離，而且身陷毫無尊嚴的處境。如此場景不該在任何地方發生。」巴舍萊指出，各國有權利決定外國人入境的情況，她並承認處理移民時可能面臨複雜的挑戰。她又說：「但很顯然，各國進行邊界控管措施時，必須遵守其人權義務，不應死抱著狹隘的政策，只把目標放在防堵、拘留和迅速遣返非法移民。」（譯者：李宛諭/核稿：林治平）1080708,國際
5,"（中央社華盛頓7日綜合外電報導）「華盛頓郵報」報導，新公布的文件顯示，美國執法部門如聯邦調查局與美國移民暨海關執法局，把州政府駕照照片資料庫做為臉部辨識的金礦，掃描了數百萬不知情民眾的照片。美國喬治城大學法學院研究人員透過申請公共紀錄方式，取得過去5年的數千項臉部辨識申請以及相關內部文件與電郵，並提供給華郵（The Washington Post），內容顯示美國聯邦調查人員大舉使用各州車輛管理局（DMV）的資料庫，使之成為史無前例監控基礎設施的磐石。長久以來，警方可以取得從罪犯採取的指紋、DNA與其他「生物資料」，不過車管局的紀錄包括各州大部分居民的照片，而且當中絕大多數民眾從未被控犯罪。不論是聯邦國會或是各州的立法部門，都未授權可發展這樣的系統，並且越來越多的民主黨與共和黨議員批評，這種技術是危險、無孔不入而且容易發生錯誤的監控工具。美國國會稽核處（Government Accountability Office, GAO）上月表示，儘管屢受質疑，聯邦探員仍把臉部辨識變成常態的調查工具。自2011年以來，包括各州車管局在內，聯邦調查局曾登入各州與聯邦部門的資料庫執行超過39萬次臉部辨識搜尋，紀錄並顯示聯邦探員與車管局官員建立了日常工作聯繫。美國國會稽核處的紀錄顯示，目前全美有21個州，包括德州與賓州加上華盛頓特區（Washington D.C），允許像是聯邦調查局等單位可掃描駕照照片。這些許可的協議為臉部辨識訂定了規範，包括每次的臉部辨識必須與調查刑事犯罪有關等。美國國會稽核處一位主管表示，聯邦調查局進行臉部辨識搜尋時可進入涵蓋地方、各州與聯邦機構的資料庫，共存有超過6億4100萬張臉部照片。不過聯邦調查局幾乎沒有提供關於何時使用臉部辨識搜尋、鎖定搜尋對象及錯誤率的資料。（譯者：曹宇帆/核稿：林治平）1080708",國際
6,（中央社雅典8日綜合外電報導）希臘新任右翼總理米佐塔基斯（Kyriakos Mitsotakis）今天宣誓就職，即將著手實現他終結希臘經濟危機的競選承諾。希臘目前是負債最多的歐洲聯盟成員國。51歲的米佐塔基斯今天由妻子和3位孩子陪伴，在總統府宣誓就職，儀式經電視轉播。他說：「努力就從今天開始。我非常有信心，我們有能力應付挑戰。」米佐塔基斯指出，內閣將在明天就職、後天開會。總統府內的儀式結束後，米佐塔基斯來到隔壁的總理辦公室兼官邸，與遭他擊敗的左翼前總理齊普拉斯（Alexis Tsipras）短暫會晤。米佐塔基斯畢業於哈佛大學（Harvard University）和史丹佛大學（Stanford University），專業包括企業管理和國際關係，曾任麥肯錫公司（McKinsey & Company）顧問。接任總理後，他首要任務為解決希臘沉重的財政問題。希臘的公共債務去年已累積達3350億歐元（約3760億美元），相當於國內生產毛額（GDP）的180%。為使希臘得以留在歐元區，前任總理齊普拉斯依據歐盟紓困計畫要求，推行財政緊縮。儘管希臘今年的公共債務總額可望降至相當於國內生產毛額168%的水準，但先決條件恐為政府和國民必須持續勒緊褲帶。米佐塔基斯領導的新民主黨（New Democracy）卻認為，財政緊縮限制經濟成長。米佐塔基斯新官上任面臨的棘手任務為一方面必須確保國際債權人願意支持希臘，另一方面則藉降低稅賦和重新協商財政目標減輕國內民眾負擔。由於任務艱鉅，他的政治蜜月期可能會很短暫。今天歐元區各國財政部長將召開會議，討論希臘經濟現況。齊普拉斯曾在5月提出減稅措施，為爭取選民支持作最後一搏。（譯者：陳韻聿/核稿：劉淑琴）1080708,國際
7,（中央社首爾8日綜合外電報導）北韓媒體報導，已故前南韓外交部長崔德新的72歲次子崔仁國近日投奔北韓。崔德新和妻子柳美英1986年定居北韓，是目前罕見「脫南者」中位階最高的官員。1953年南北韓簽署停戰協定後，由北韓逃往南韓的「脫北者」至少有3萬人，「脫南者」則十分罕見。已於1989年過世的崔德新曾在1960年代擔任南韓外交部長。1976年，他因對朴正熙的獨裁統治不滿，偕柳美英出走海外，隨後定居美國。1978年，崔德新訪問平壤，獲金日成接見，此後數度進出北韓，直到1986年移居當地。崔柳兩人的孩子都留在南韓，未隨父母出走。北韓國營宣傳網站「我們民族之間」（Uriminzokkiri）報導，崔仁國6日飛抵平壤。在網站7日公布、攝於機場的影片中，崔仁國宣稱來到平壤是為了「定居」。影片中可聽到崔仁國表示：「我找不到恰當的言語形容對接納我的人民共和國有多感激。」他還說，決定遷居北韓是為了實現雙親心願。南韓統一部今天表示，在報導登出之前，並不知道崔仁國已投北。統一部指出，基於尊重個人遷居自由，並不會刻意追蹤個人行動。法新社報導，過去曾有為數不多的南韓民眾迫於經濟困難投北，但平壤當局鑒於政治宣傳價值不高，大多將他們遣返。根據南韓統一部發言人李相旻所說，去年就有兩名南韓民眾遭平壤當局送回。英國廣播公司（BBC）援引北韓媒體報導，崔仁國將在北韓從事與統一議題有關的工作。根據現行法律，南韓民眾須經政府特別許可才能造訪北韓，因此一旦崔仁國再度踏上南韓土地，就有可能遭逮捕。（譯者：陳韻聿/核稿：林治平）1080708,國際
8,（中央社華盛頓7日綜合外電報導）美國司法部發言人庫佩今天說，司法部民事司新律師團隊將接手處理2020年人口普查相關案件。總統川普力促10年一度的人口普查納入受爭議的國籍問題，司法部可能因此作此調整。庫佩（Kerri Kupec）並未說明調整的原因，但司法部官員指出，這個新團隊成員由文官與政務官組成，其中包括在保障消費者部門任職的律師。儘管最高法院6月27日擋下川普首次想要在人口普查增列有關公民身分問題的行動，並歸咎行政部門陳述的理由不足，川普仍表示希望這個問題要納入，司法部因此一直設法要落實。川普表示，他正考慮頒布行政命令以達成目的。司法部5日告訴馬里蘭州聯邦地區法院法官海瑟（George Hazel），是否增列公民身分的問題司法部尚未拍板。人口普查的結果將影響聯邦眾議院席次分配，以及運用於包括公立學校、醫療補助、執法部門、公路修繕的聯邦經費分配，金額約8000億美元（約合新台幣24兆9450億元）。民權團體和部分州政府強烈反對將公民身分問題納入人口普查問卷，並聲稱這是共和黨操作的伎倆，以恫嚇移民不參與人口普查，如此將導致移民眾多且傾向支持民主黨地區的人口數被低估。（譯者：曹宇帆/核稿：林治平）1080707,國際
9,（中央社里昂7日綜合外電報導）法國總統馬克宏今天表示，足球賽事若有觀眾出現種族歧視或恐同辱罵等言論，就要停止賽事。他也表示，女足球員的收入應該追上男球員。馬克宏（Emmanuel Macron）說：「我們不能慣用在足球場為由，縱容恐同主義和種族歧視。沒有任何運動是奠基於仇恨言論。」馬克宏在世界盃女子足球賽冠軍戰於里昂開踢前，向法國電視台表示，恐同和種族歧視是一種仇恨文化。他進一步說：「我們在社會上對抗恐同主義和種族歧視。但在足球場裡，我們能夠接受（這些情緒）嗎？當然不行。」馬克宏還說，女球員和男球員的收入差距應該「逐漸縮小」。他說：「當你仔細觀察足球場內和收看電視直播的觀眾，你會經歷一場革命，你會得到和男足賽事接近的數字水準。」另外，馬克宏表示，女足球員的收入只有男足球員的10分之1。「反觀網球界，法國網球公開賽男女球員的獎金幾乎已不相上下。」（譯者：李宛諭/核稿：劉淑琴）1080708,國際
10,（中央社卡諾8日綜合外電報導）奈及利亞聯邦道路安全委員會官員今天表示，北部卡諾州（Kano）一條繁忙道路上發生公車和汽車追撞意外，造成19人死亡，7人受傷。奈及利亞聯邦道路安全委員會（Federal Road Safety Commission，FRSC）官員馬托（Zubairu Mato）表示，這起意外發生在7日，地點位於距卡諾市85公里處的迪亞爾馬迪佳村（Dinyar Madiga）。卡諾市是卡諾州首府。馬托說：「包括2輛公車和2輛汽車的4輛車追撞，造成總共19人死亡。」另有7人受傷。馬托說：「車輛行駛速度快，為了閃避坑洞而追撞。」奈及利亞道路保養維護不足，常釀成交通意外。駕駛粗心大意、超速和不遵守交通規則都是意外發生的原因。北部吉嘉瓦州（Jigawa）附近4月也發生交通意外。一輛超載的巴士途中爆胎打滑翻覆，車上19名參加婚禮的民眾喪命。（譯者：李宛諭/核稿：劉淑琴）1080708,國際
11,（中央社德黑蘭8日綜合外電報導）伊朗宣稱7日起濃縮鈾純度超出2015年與美國及歐洲強權所達成核協議中規範的上限，今天並警告歐洲國家別升高對伊朗的回應。伊朗外交部發言人墨沙維（Abbas Mousavi）表示，若簽署核協議的歐洲國家「採取某些怪異的行動，那麼我們將跳過（縮減承諾方案中）所有接下來的步驟，並執行最後一項」。不過他沒有具體說明打算採取的最後步驟。（譯者：曹宇帆/核稿：林治平）1080708,國際
12,（中央社記者陳妍君馬尼拉8日專電）人權團體「國際特赦組織」今天公布菲律賓掃毒戰調查報告。報告受訪者表示，警方對被視為涉毒分子的貧民毫無憐憫，「警方只是殺戮」、「如果你很窮，你就死定了」。國際特赦組織（Amnesty International）調查報告標題為「他們只是殺戮」（THEY JUST KILL）。國際特赦組織這份報告訪問58人，包括「法外處決」目擊者、受害者家屬和地方官員。國際特赦組織調查的20起案例中，18起發生在警方執法行動中，另外2起受害者遭不知名武裝分子殺害，20起案例共造成27人死亡。記者會背板上，用黑底白字印出受訪者的話：「菲律賓現今局面已不再安全。即使無辜的人也可能死亡或輕易被用沙霧（Shabu，類安非他命毒品）栽贓。人們沒辦法安心…（深夜出門）如果警察質問你，他們會搜索你的口袋，沙霧已經在裡面了，他們會把它放進你口袋裡。他們會殺了你。」國際特赦組織菲律賓分部主任歐拉諾（Butch Olano）說，外界無從得知因掃毒戰遭殺害的確切人數，但根據菲律賓國家警察總署（PNP）的資料，2016年7月到今年5月底，至少6600名涉毒嫌犯被殺，平均每天至少6人被殺。國際特赦組織調查顯示，掃毒戰受害者幾乎都生活在貧困和邊緣化社區。報告引述一名婦女的說法，她的丈夫去年底被警方殺害，丈夫生前必須超時工作以支撐家裡開銷，她不懂為什麼丈夫被指控為大毒販，「只有窮人，他們（警察）只想殺害窮人」。國際特赦組織指出，除了痛失家庭經濟支柱，還有東拼西湊而來的葬禮支出，往往讓貧困家庭更陷入窮困泥沼。菲國警方6月底進行一場掃毒行動時，流彈傷及嫌犯3歲的女兒，女童不幸身亡。對此，前警察總長、參議員德拉羅沙（Bato dela Rosa）回應說：「鳥事難免會發生（Shit happens）」，引發外界譁然。歐拉諾表示，德拉羅沙說法意謂著：「如果你很窮，鳥事會發生在你身上。」菲律賓警方掃毒執法已形成一種殺戮風潮，民調機構「社會氣象站」（Social Weather Stations）調查顯示，約5100萬菲律賓人害怕自己成為掃毒戰受害者。歐拉諾要求總統杜特蒂（Rodrigo Duterte）立即停止警方主導的掃毒戰，改以重視民眾健康和權益的毒品管制措施取代。他也呼籲聯合國人權理事會（U.N. Human Rights Council）通過決議，對掃毒戰中侵犯人權行為展開獨立、公正和有效的調查，並期盼聯合國獨立人權專家持續監控菲律賓法外處決和違反國際法情形。（編輯：周永捷）1080708,國際
